Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,HasCabin,FamilySize,IsAlone,FamilyCategory,Title,TitleAgeType,Deck,TicketPrefix,TicketLen,FarePerPerson,FareBin,AgeBin,AgeClass,ClassSex,ClassEmbarked,FareClass,TitleSex,WomenChild,HighClassFemale,Survived
2,male,29.0,0,0,10.5,S,0,1,1,Single,Mr,Adult,Unknown,WC,11,10.5,Mid,Adult,58.0,2_male,2_S,2_Mid,Mr_male,0,0,0
2,male,36.0,1,2,27.75,S,0,4,0,Small,Mr,Adult,Unknown,CA,10,6.9375,High,Middle,72.0,2_male,2_S,2_High,Mr_male,0,0,0
3,male,17.0,1,0,7.0542,S,0,2,0,Small,Mr,Adult,Unknown,None,6,3.5271,Low,Teen,51.0,3_male,3_S,3_Low,Mr_male,0,0,0
2,male,23.0,0,0,13.0,S,0,1,1,Single,Mr,Adult,Unknown,None,5,13.0,Mid,Adult,46.0,2_male,2_S,2_Mid,Mr_male,0,0,0
2,male,19.0,0,0,13.0,S,0,1,1,Single,Mr,Adult,Unknown,None,5,13.0,Mid,Adult,38.0,2_male,2_S,2_Mid,Mr_male,0,0,0
2,male,59.0,0,0,13.5,S,0,1,1,Single,Mr,Adult,Unknown,None,6,13.5,Mid,Middle,118.0,2_male,2_S,2_Mid,Mr_male,0,0,0
1,male,50.0,1,0,106.425,C,1,2,0,Small,Mr,Adult,Unknown,PC,8,53.2125,VeryHigh,Middle,50.0,1_male,1_C,1_VeryHigh,Mr_male,0,0,0
1,female,38.0,1,0,71.2833,C,1,2,0,Small,Mrs,Adult,Unknown,PC,8,35.64165,VeryHigh,Middle,38.0,1_female,1_C,1_VeryHigh,Mrs_female,1,1,1
2,male,28.5,0,0,13.8625,C,0,1,1,Single,Mr,Adult,Unknown,SCPARIS,13,13.8625,Mid,Adult,57.0,2_male,2_C,2_Mid,Mr_male,0,0,1
3,male,30.0,0,0,8.05,S,0,1,1,Single,Mr,Adult,Unknown,A,10,8.05,Mid,Adult,90.0,3_male,3_S,3_Mid,Mr_male,0,0,0
