Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,HasCabin,FamilySize,IsAlone,Title,TicketPrefix,AgeBin,FareBin
0,3,male,22.0,1,0,7.25,S,0,2,0,1,A/5,2,0
1,1,female,38.0,1,0,71.2833,C,1,2,0,3,PC,3,3
1,3,female,26.0,0,0,7.925,S,0,1,1,2,Other,2,1
1,1,female,35.0,1,0,53.1,S,1,2,0,3,None,2,3
0,3,male,35.0,0,0,8.05,S,0,1,1,1,None,2,1
0,3,male,24.060452020202025,0,0,8.4583,Q,0,1,1,1,None,2,1
0,1,male,54.0,0,0,51.8625,S,1,1,1,1,None,4,3
0,3,male,2.0,3,1,21.075,S,0,5,0,4,None,0,2
1,3,female,27.0,0,2,11.1333,S,0,3,0,3,None,2,1
1,2,female,14.0,1,0,30.0708,C,0,2,0,3,None,1,2
1,3,female,4.0,1,1,16.7,S,1,3,0,2,Other,0,2
1,1,female,58.0,0,0,26.55,S,1,1,1,2,None,4,2
0,3,male,20.0,0,0,8.05,S,0,1,1,1,A/5.,1,1
0,3,male,39.0,1,5,31.275,S,0,7,0,1,None,3,3
0,3,female,14.0,0,0,7.8542,S,0,1,1,2,None,1,0
1,2,female,55.0,0,0,16.0,S,0,1,1,3,None,4,2
0,3,male,2.0,4,1,29.125,Q,0,6,0,4,None,0,2
1,2,male,31.49723336732589,0,0,13.0,S,0,1,1,1,None,2,1
0,3,female,31.0,1,0,18.0,S,0,2,0,3,None,2,2
1,3,female,15.379375,0,0,7.225,C,0,1,1,3,None,1,0
0,2,male,35.0,0,0,26.0,S,0,1,1,1,None,2,2
1,2,male,34.0,0,0,13.0,S,1,1,1,1,None,2,1
1,3,female,15.0,0,0,8.0292,Q,0,1,1,2,None,1,1
1,1,male,28.0,0,0,35.5,S,1,1,1,1,None,2,3
0,3,female,8.0,3,1,21.075,S,0,5,0,2,None,0,2
1,3,female,38.0,1,5,31.3875,S,0,7,0,3,None,3,3
0,3,male,32.669700396825384,0,0,7.225,C,0,1,1,1,None,2,0
0,1,male,19.0,3,2,263.0,S,1,6,0,1,None,1,3
1,3,female,21.84016666666667,0,0,7.8792,Q,0,1,1,2,None,2,0
0,3,male,27.77767996384952,0,0,7.8958,S,0,1,1,1,None,2,0
0,1,male,40.0,0,0,27.7208,C,0,1,1,5,PC,3,2
1,1,female,36.37516666666667,1,0,146.5208,C,1,2,0,3,PC,3,3
1,3,female,25.981350080475085,0,0,7.75,Q,0,1,1,2,None,2,0
0,2,male,66.0,0,0,10.5,S,0,1,1,1,C.A.,5,1
0,1,male,28.0,1,0,82.1708,C,0,2,0,1,PC,2,3
0,1,male,42.0,1,0,52.0,S,0,2,0,1,None,3,3
1,3,male,24.901471681096687,0,0,7.2292,C,0,1,1,1,None,2,0
0,3,male,21.0,0,0,8.05,S,0,1,1,1,Other,2,1
0,3,female,18.0,2,0,18.0,S,0,3,0,2,None,1,2
1,3,female,14.0,1,0,11.2417,C,0,2,0,2,None,1,1
0,3,female,40.0,1,0,9.475,S,0,2,0,3,None,3,1
0,2,female,27.0,1,0,21.0,S,0,2,0,3,None,2,2
0,3,male,27.77767996384952,0,0,7.8958,C,0,1,1,1,None,2,0
1,2,female,3.0,1,2,41.5792,C,0,4,0,2,Other,0,3
1,3,female,19.0,0,0,7.8792,Q,0,1,1,2,None,1,0
0,3,male,30.500245379086014,0,0,8.05,S,0,1,1,1,Other,2,1
0,3,male,34.19841666666667,1,0,15.5,Q,0,2,0,1,None,2,2
1,3,female,25.981350080475085,0,0,7.75,Q,0,1,1,2,None,2,0
0,3,male,24.52025,2,0,21.6792,C,0,3,0,1,None,2,2
0,3,female,18.0,1,0,17.8,S,0,2,0,3,None,1,2
0,3,male,7.0,4,1,39.6875,S,0,6,0,4,None,0,3
0,3,male,21.0,0,0,7.8,S,0,1,1,1,Other,2,0
