Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,HasCabin,FamilySize,IsAlone,FamilyCategory,Title,TitleAgeType,Deck,TicketPrefix,TicketLen,FarePerPerson,FareBin,AgeBin,AgeClass,ClassSex,ClassEmbarked,FareClass,TitleSex,WomenChild,HighClassFemale
1,3,male,29.613297619047625,0,0,56.4958,S,0,1,1,Single,Mr,Adult,Unknown,None,4,56.4958,VeryHigh,Adult,88.83989285714287,3_male,3_S,3_VeryHigh,Mr_male,0,0
0,2,male,35.057760836171056,0,0,0.0,S,0,1,1,Single,Mr,Adult,Unknown,None,6,0.0,Low,Middle,70.11552167234211,2_male,2_S,2_Low,Mr_male,0,0
0,1,male,32.1775,0,0,221.7792,S,1,1,1,Single,Mr,Adult,Unknown,PC,8,221.7792,VeryHigh,Adult,32.1775,1_male,1_S,1_VeryHigh,Mr_male,0,0
1,3,female,18.0,0,1,9.35,S,0,2,0,Small,Mrs,Adult,Unknown,None,6,4.675,Mid,Teen,54.0,3_female,3_S,3_Mid,Mrs_female,1,0
1,2,female,31.0,1,1,26.25,S,0,3,0,Small,Mrs,Adult,Unknown,CA,10,8.75,High,Adult,62.0,2_female,2_S,2_High,Mrs_female,1,0
0,3,male,21.0,0,0,8.4333,S,0,1,1,Single,Mr,Adult,Unknown,None,4,8.4333,Mid,Adult,63.0,3_male,3_S,3_Mid,Mr_male,0,0
1,3,male,26.0,0,0,56.4958,S,0,1,1,Single,Mr,Adult,Unknown,None,4,56.4958,VeryHigh,Adult,78.0,3_male,3_S,3_VeryHigh,Mr_male,0,0
0,1,male,33.0025,0,0,227.525,C,0,1,1,Single,Mr,Adult,Unknown,PC,8,227.525,VeryHigh,Adult,33.0025,1_male,1_C,1_VeryHigh,Mr_male,0,0
1,3,male,47.23933016983016,0,0,7.75,Q,0,1,1,Single,Mr,Adult,Unknown,None,6,7.75,Low,Middle,141.71799050949048,3_male,3_Q,3_Low,Mr_male,0,0
0,3,female,31.0,1,0,18.0,S,0,2,0,Small,Mrs,Adult,Unknown,None,6,9.0,High,Adult,93.0,3_female,3_S,3_High,Mrs_female,1,0
1,1,male,56.0,0,0,35.5,C,1,1,1,Single,Rare,Varied,Unknown,None,5,35.5,VeryHigh,Middle,56.0,1_male,1_C,1_VeryHigh,Rare_male,0,0
0,3,female,21.0,1,0,9.825,S,0,2,0,Small,Miss,Young,Unknown,None,4,4.9125,Mid,Adult,63.0,3_female,3_S,3_Mid,Miss_female,1,0
0,3,male,13.598253968253976,8,2,69.55,S,0,11,0,Large,Mr,Adult,Unknown,CA,8,6.322727272727272,VeryHigh,Teen,40.79476190476193,3_male,3_S,3_VeryHigh,Mr_male,1,0
0,1,male,56.0,0,0,26.55,S,0,1,1,Single,Mr,Adult,Unknown,None,6,26.55,High,Middle,56.0,1_male,1_S,1_High,Mr_male,0,0
0,3,male,21.0,0,0,7.8,S,0,1,1,Single,Mr,Adult,Unknown,A,10,7.8,Low,Adult,63.0,3_male,3_S,3_Low,Mr_male,0,0
1,1,female,33.0,1,0,90.0,Q,1,2,0,Small,Miss,Young,Unknown,None,5,45.0,VeryHigh,Adult,33.0,1_female,1_Q,1_VeryHigh,Miss_female,1,1
0,3,male,21.0,0,0,7.7333,Q,0,1,1,Single,Mr,Adult,Unknown,A,10,7.7333,Low,Adult,63.0,3_male,3_Q,3_Low,Mr_male,0,0
0,3,male,30.631309794372306,0,0,7.25,S,0,1,1,Single,Mr,Adult,Unknown,None,6,7.25,Low,Adult,91.89392938311693,3_male,3_S,3_Low,Mr_male,0,0
0,3,male,43.0,0,0,6.45,S,0,1,1,Single,Mr,Adult,Unknown,C,6,6.45,Low,Middle,129.0,3_male,3_S,3_Low,Mr_male,0,0
